原序号	English	保留字面形式	使用规则
647	filenode	按语境	普通存储说明中的 filenode、filenodes 及 file node 统一为文件节点，沿用 oid2name 旧版选项和 pg_checksums 的稳定译法；不混用文件结点。保留参数 filenode、选项 --filenode、函数与列名、文件名示意 filenode.1/filenode.2、代码、输出表头和文件路径；明确区分关系 OID 与文件节点编号。
648	n-distinct	按语境	普通统计信息说明中指非重复值数量，依句意译为非重复值计数、非重复值数量估计、非重复值统计信息或非重复值系数，沿用性能指南和较旧版规划器统计信息的稳定译法。保留 ndistinct、n_distinct、pg_ndistinct、stxndistinct、stxdndistinct 等实际标识符、锚点、代码和原始输出；勿与 non-distinct（允许重复、不去重）混淆。
649	Cyrillic	按语境	指文字系统或字母，不译为西里尔语；沿用 SQL 语法章节的稳定译法。Russian、Ukrainian 等语言名另按原文保留其限定关系；代码、转义字符及标识符不改。
650	Hangul	按语境	指韩语使用的谚文文字系统，不能省略或笼统改为韩语；Korean (Hangul) 译韩语（谚文），Unified Hangul Code 译统一谚文编码。保留 UHC、JOHAB、Unicode 代码点、TBASE、NFC 和原始代码。
651	root collation	按语境	ICU 普通说明沿用本章根排序规则的译法；root locale 同理。实际区域设置名称 root、und、BCP 47 标签、SQL 代码及标识符保持原样。
652	root locale	按语境	ICU 普通说明沿用本章与 CREATE COLLATION 的根区域设置译法；实际特殊语言名称 root 和 und、SQL 字符串、BCP 47 标签不翻译。
653	Latin	按语境	在编码、文字系统、字母及标识符说明中译拉丁字母；指语言时译拉丁语。Latin-1 等编码名称、LATIN1 等标识符、locale 标签及原始代码保持原样。
654	time zone abbreviation	按语境	普通日期和时间说明中的 time zone abbreviation、timezone abbreviation、time-zone abbreviation 及其复数统一为时区缩写，沿用数据类型、配置与附录的稳定译法；不混用时区简写。保留实际时区名称和缩写值、timezone_abbreviations、pg_timezone_abbrevs、IANA 数据、路径、代码、表头及各版优先级规则。
655	epoch	按语境	普通事务编号、时间基准说明中的 epoch 及其复数译为纪元；沿用术语章、协议和函数说明中的稳定译法。区分事务 ID 的纪元计数、Unix 纪元与 PostgreSQL 纪元；表示相对纪元的时间值时按语境写纪元时间戳。EXTRACT 字段、日期时间输入值、代码、参数和其他实际标识符中的 epoch/EPOCH 保留，不改公元前后纪元的既有译法，不补写原文没有的起点或单位。
656	subcommitted	按语境	普通子事务状态说明中的 subcommitted 译为已子提交，首次可括注英文。保留子事务提交、中止、父事务与顶层事务的不同作用，以及顶层提交前尚未持久记录为最终已提交的限制；代码和实际状态常量保持原样，不把此状态混同于两阶段提交的预备状态。
